player_name,team,season,h1_min,h1_FGM,h1_FGA,h1_3PM,h1_3PA,h1_FTM,h1_FTA,h1_AST,h1_STL,h1_BLK,h1_ORB,h1_DRB,h1_TO,h2_min,h2_FGM,h2_FGA,h2_3PM,h2_3PA,h2_FTM,h2_FTA,h2_AST,h2_STL,h2_BLK,h2_ORB,h2_DRB,h2_TO
Aaron Brookins,William Woods,2018-19,20.0,4,9,3,7,3,3,0,0,0,0,2,0,14.95,1,5,0,2,1,1,0,0,0,0,0,0
Aaron Calixte,Oklahoma,2018-19,20.0,36,96,21,56,5,8,27,5,0,0,32,34,17.92,37,90,11,39,20,25,32,6,0,5,13,21
Aaron Carver,Old Dominion,2018-19,20.0,12,52,0,7,7,17,19,8,8,33,73,12,17.65,20,36,1,2,9,23,10,9,7,46,44,18
Aaron Chapple,Westcliff,2018-19,0.0,0,1,0,0,0,0,0,1,0,0,1,1,14.68,1,2,0,1,0,0,2,0,0,0,1,0
Aaron Clarke,Sacred Heart,2018-19,20.0,38,99,14,45,18,21,23,4,0,3,21,18,18.25,38,98,16,49,30,32,29,3,0,1,17,13
Aaron Cook,Southern Illinois,2018-19,20.0,56,136,19,55,9,19,53,13,4,5,23,34,20.0,51,131,17,51,58,82,56,26,4,10,35,41
Aaron Duhart,Army,2018-19,20.0,16,47,4,18,8,9,33,8,1,2,16,17,20.0,21,49,5,22,4,5,10,2,0,3,14,9
Aaron Edwards,Fort Valley State,2018-19,20.0,2,3,2,3,0,0,0,0,0,0,1,3,14.9,0,1,0,0,2,2,0,0,0,0,0,2
Aaron Falzon,Northwestern,2018-19,0.0,9,26,8,24,0,0,5,3,1,2,14,4,14.87,7,31,6,26,3,3,3,3,3,3,6,6
Aaron Gedeon,Keiser,2018-19,20.0,2,5,0,0,2,2,1,0,0,0,3,1,20.0,0,1,0,0,1,2,0,0,0,0,0,1
Aaron Henry,Michigan State,2018-19,20.0,44,91,7,18,3,8,32,8,8,24,60,21,20.0,40,81,7,20,28,36,25,17,9,15,48,27
Aaron Hobbs,,2018-19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,0
Aaron Houle,Northland College,2018-19,20.0,1,2,1,2,0,0,0,0,0,0,1,0,14.98,0,2,0,2,0,0,0,0,0,0,0,0
Aaron Jordan,Illinois,2018-19,20.0,53,128,42,85,16,19,22,15,7,21,60,10,14.98,32,99,20,61,24,32,25,16,6,21,52,16
Aaron Laflin,California Merced,2018-19,20.0,2,3,2,3,0,0,1,0,0,0,1,0,20.0,1,4,0,3,0,0,0,1,0,0,1,0
Aaron Levarity,Milligan,2018-19,20.0,17,28,0,2,3,6,2,3,1,6,13,6,14.83,10,16,1,2,1,1,4,1,2,4,10,1
Aaron Michalak,St. Francis (ILL),2018-19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,19.08,0,0,0,0,0,0,1,0,0,0,0,0
Aaron Munday-Rashid,York,2018-19,20.0,1,5,0,2,0,0,1,0,0,0,1,1,15.25,0,0,0,0,0,0,0,0,0,0,0,1
Aaron Nesmith,Vanderbilt,2018-19,20.0,60,145,29,85,32,40,21,14,7,15,76,28,18.83,45,128,23,77,34,40,19,7,10,16,57,20
Aaron Nettles,Seattle,2018-19,20.0,10,24,7,20,2,2,4,8,0,0,9,4,20.0,9,22,5,16,7,10,5,4,0,2,2,5
Aaron Overhiser,Findlay,2018-19,20.0,1,1,0,0,0,0,2,0,0,0,2,1,14.83,0,7,0,3,0,0,0,0,0,0,0,1
Aaron Palmer,Piedmont,2018-19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,1,1,1,1,0,0,0,0,0,0,0,1
Aaron Porcil,Sonoma State,2018-19,20.0,4,5,1,1,1,1,0,2,0,0,0,2,15.7,1,2,1,1,0,0,2,0,0,0,0,0
Aaron Ray,Southern,2018-19,20.0,28,88,19,54,21,25,20,15,0,8,38,27,15.05,19,52,5,25,36,44,22,12,1,7,33,20
Aaron Robinson,Quinnipiac,2018-19,20.0,11,40,10,34,0,1,12,4,0,3,25,6,14.85,21,56,16,47,1,11,14,4,1,6,17,11
Aaron Scott,Mid-Atlantic Christian University,2018-19,20.0,5,11,0,0,0,0,0,0,1,4,5,2,14.83,4,7,0,0,2,5,0,0,0,3,1,0
Aaron Spivey,Wake Forest,2018-19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15.48,0,3,0,3,2,2,0,1,0,0,1,0
Aaron Thompson,Butler,2018-19,20.0,42,76,4,14,9,14,76,13,4,4,33,31,16.43,34,69,5,13,23,35,59,22,5,2,25,32
Aaron Walton,Stephen F. Austin,2018-19,20.0,0,1,0,0,0,0,1,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Washington,Huntingdon,2018-19,20.0,0,3,0,1,0,0,0,0,0,0,0,0,14.95,2,5,1,3,0,0,1,0,0,0,1,0
Aaron Weidenaar,Central Arkansas,2018-19,20.0,6,32,5,25,2,2,1,4,3,1,8,4,17.98,5,19,5,18,3,3,4,0,1,0,2,3
Aaron Wheeler,Purdue,2018-19,20.0,37,74,21,48,5,8,8,13,10,17,36,11,18.95,21,51,9,30,9,15,6,4,6,15,29,10
Aaron Wiggins,Maryland,2018-19,20.0,42,122,30,72,4,4,8,9,2,15,35,10,17.92,50,103,28,62,18,21,15,10,4,17,34,16
Aaryn Rai,Dartmouth,2018-19,20.0,27,64,4,20,5,7,8,10,7,15,45,18,20.0,26,60,6,16,26,29,11,6,4,14,48,16
Abayomi Iyiola,Stetson,2018-19,20.0,53,122,0,3,31,38,9,12,19,41,68,20,14.95,64,122,1,4,29,43,5,14,12,38,66,14
Abdoulaye Gueye,Georgia Tech,2018-19,20.0,37,79,1,5,13,23,8,12,8,17,35,19,19.5,31,55,1,4,14,21,15,3,11,15,29,17
Abdoulaye Harouna,Miami (OH),2018-19,20.0,26,61,15,32,7,8,19,6,2,11,26,30,14.8,24,63,8,32,18,22,7,4,1,1,18,16
Abdul Ado,Mississippi State,2018-19,20.0,26,46,0,0,26,37,7,12,21,21,42,20,14.87,22,33,0,0,16,30,6,6,32,29,37,13
