player_name,team,season,h1_min,h1_FGM,h1_FGA,h1_3PM,h1_3PA,h1_FTM,h1_FTA,h1_AST,h1_STL,h1_BLK,h1_ORB,h1_DRB,h1_TO,h2_min,h2_FGM,h2_FGA,h2_3PM,h2_3PA,h2_FTM,h2_FTA,h2_AST,h2_STL,h2_BLK,h2_ORB,h2_DRB,h2_TO
A'Donnius McGill,VALLEY FORGE,2022-23,20.0,0,2,0,0,0,0,0,1,0,0,0,4,14.42,0,1,0,0,0,0,0,0,0,0,0,0
A'Drelin Robinson,Oakwood,2022-23,20.0,0,2,0,0,0,0,1,1,0,0,0,1,14.72,1,5,1,3,0,0,0,0,0,0,0,2
A'Jahni Levias,North Dakota,2022-23,20.0,21,46,10,24,4,8,11,4,0,6,21,12,14.88,11,36,3,18,6,8,5,6,0,10,10,10
A'lahn Sumler,Northern Kentucky,2022-23,20.0,15,39,6,25,2,2,8,6,0,6,5,10,19.77,8,29,6,17,0,3,2,1,0,2,6,8
A.J. Caldwell,Chattanooga,2022-23,20.0,42,100,29,74,2,5,3,11,7,10,62,14,19.83,27,69,16,49,12,17,4,10,4,12,61,15
A.J. Casey,Miami,2022-23,20.0,4,17,0,5,7,8,2,0,3,7,9,2,19.5,3,7,0,4,1,4,0,1,3,3,8,1
A.J. Hoggard,Michigan State,2022-23,20.0,58,139,14,36,24,33,44,14,6,1,65,44,17.65,81,193,10,34,93,114,37,14,3,5,50,44
A.J. Lopez,New Hampshire,2022-23,0.0,1,3,0,2,0,0,0,0,0,0,0,1,14.98,5,13,3,9,3,5,0,1,0,4,3,2
A.J. McGinnis,Lipscomb,2022-23,20.0,41,104,27,72,4,8,0,5,1,5,29,20,19.63,34,96,23,62,12,16,0,8,1,1,30,12
A.J. Oliver,Detroit Mercy,2022-23,20.0,35,82,13,43,16,19,2,9,0,25,37,9,19.75,50,103,24,57,25,28,5,10,1,31,39,15
A.J. Plitzuweit,South Dakota,2022-23,20.0,45,110,19,47,14,17,0,10,3,1,23,19,14.5,52,109,29,65,60,66,0,6,0,4,34,30
A.J. Staton-McCray,Samford,2022-23,20.0,42,94,10,39,24,32,0,27,2,13,47,16,14.7,42,89,11,35,28,34,0,27,2,17,42,11
AC Curry,Arkansas-Pine Bluff,2022-23,20.0,19,59,11,43,0,2,7,11,7,23,33,11,19.85,16,53,4,32,1,9,5,13,9,19,36,8
AJ Allenspach,Army,2022-23,20.0,1,1,0,0,0,0,0,0,0,1,2,1,19.77,1,3,0,0,0,0,1,0,0,3,3,4
AJ Aungst,Schreiner,2022-23,20.0,2,6,2,6,0,0,0,0,0,0,1,1,14.57,1,2,1,2,0,0,0,0,0,1,2,0
AJ Braun,Wright State,2022-23,17.45,75,125,0,0,23,47,12,6,9,34,63,27,19.75,51,84,0,0,22,40,11,2,14,21,40,15
