player_name,team,season,h1_min,h1_FGM,h1_FGA,h1_3PM,h1_3PA,h1_FTM,h1_FTA,h1_AST,h1_STL,h1_BLK,h1_ORB,h1_DRB,h1_TO,h2_min,h2_FGM,h2_FGA,h2_3PM,h2_3PA,h2_FTM,h2_FTA,h2_AST,h2_STL,h2_BLK,h2_ORB,h2_DRB,h2_TO
04,,2020-21,0.0,0,0,0,0,0,0,0,0,0,2,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0
20,,2020-21,0.0,0,0,0,0,0,0,0,0,0,2,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Caldwell,Chattanooga,2020-21,20.0,29,60,14,36,1,3,0,16,1,5,47,12,14.98,26,73,20,51,3,9,0,12,8,7,53,13
A.J. Hasell,Dalton State,2020-21,20.0,4,4,2,2,2,2,0,1,0,0,0,0,19.57,2,4,0,1,6,7,0,1,1,0,0,1
A.J. Hoggard,Michigan State,2020-21,0.0,11,42,1,9,6,10,17,5,5,2,26,13,18.67,9,25,1,4,6,12,12,2,0,1,14,14
A.J. Kirby,San Jos̩ St,2020-21,0.0,2,4,0,2,0,0,0,1,0,2,2,2,20.0,0,3,0,2,0,0,0,3,0,2,7,0
A.J. Lawson,McNeese,2020-21,20.0,54,115,14,33,17,33,0,7,1,15,50,36,14.98,45,94,7,20,26,44,0,13,1,14,37,39
A.J. McGinnis,UNC Greensboro,2020-21,20.0,31,71,19,53,3,6,0,6,0,2,13,9,17.83,24,72,18,58,5,8,0,6,1,1,12,6
A.J. Oliver II,Old Dominion,2020-21,20.0,31,79,17,48,7,9,0,9,3,6,21,7,14.87,39,94,16,58,23,25,0,2,1,8,29,10
A.J. Plitzuweit,South Dakota,2020-21,20.0,52,121,19,46,37,41,0,12,2,8,42,23,16.22,81,167,33,71,62,71,0,9,0,6,34,26
