name,year,pre_archetype,proj_role,p_establish,p_stick8,exp_wa,exp_wa_std,comp_n,outcomes,tier_counts,pwa_p10,pwa_p25,pwa_p50,pwa_p75,pwa_p90
Austin Mueller,2020.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Cliff Thomas Jr.,2020.0,Defensive Wing,,,,,,0.0,,,,,,,
Chris Clerkley,2020.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Evan Wiley,2020.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Malik Ellison,2020.0,Initiator Wing,Non-Specialized Wing,0.64,0.112,1.9,6.4,63.7,Did Not Stick:0.360:0|Non-Specialized Wing:0.214:-1|Scoring Wing:0.096:6|Stretch Big:0.091:6,Superstar:0.00|All-Star:0.76|Starter:1.99|Role Player:10.12|Replacement:24.84|Negative:17.16,-2.98,-0.44,0.0,1.76,8.3
Nathan Knight,2020.0,Stretch Rim Protector,Stretch Big,0.648,0.021,2.3,3.8,16.5,Stretch Big:0.391:6|Did Not Stick:0.352:0|Non-Specialized Big:0.136:-0|Stretch Rim Protector:0.065:14,Superstar:0.00|All-Star:0.08|Starter:0.13|Role Player:7.17|Replacement:6.17|Negative:1.03,0.0,0.0,2.19,3.24,6.11
Oliver Powell,2020.0,Defensive Wing,,,,,,0.0,,,,,,,
Zigmars Raimo,2020.0,Point Forward,Non-Specialized Big,0.421,0.037,3.2,13.0,10.4,Did Not Stick:0.579:0|Non-Specialized Big:0.173:-0|Stretch Big:0.142:6|Rim Protector:0.106:7,Superstar:0.35|All-Star:0.00|Starter:0.00|Role Player:2.00|Replacement:5.49|Negative:1.64,-0.21,0.0,0.0,0.0,6.71
Jerry Johnson Jr.,2020.0,Spacing Guard,,,,,,0.0,,,,,,,
Sylvester Ogbonda,2020.0,Non-Specialized Big,,,,,,0.0,,,,,,,
Christion Thompson,2020.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Luke Rosinski,2020.0,Slashing Wing,,,,,,0.0,,,,,,,
Luwane Pipkins,2020.0,Scoring Playmaker,Non-Specialized Playmaker,0.585,0.096,1.7,5.9,80.2,Did Not Stick:0.415:0|Non-Specialized Playmaker:0.346:-0|Spacing Guard:0.054:10|Scoring Playmaker:0.050:25,Superstar:0.00|All-Star:0.45|Starter:3.01|Role Player:13.14|Replacement:33.71|Negative:21.66,-1.99,-0.77,0.0,1.23,7.26
Ganlandou Cisse,2020.0,Non-Specialized Wing,,,,,,0.0,,,,,,,
Jaiveon Eaves,2020.0,Spacing Guard,,,,,,0.0,,,,,,,
Jordan Griffin,2020.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
C.J. Bryce,2020.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
