name,year,pre_archetype,proj_role,p_establish,p_stick8,exp_wa,exp_wa_std,comp_n,outcomes,tier_counts,pwa_p10,pwa_p25,pwa_p50,pwa_p75,pwa_p90
James Okonkwo,2026.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Bryon Allen,2014.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
C.J. Barksdale,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Kristopher Acevedo,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Mardracus Wade,2014.0,Spacing Guard,,,,,,0.0,,,,,,,
Ron Wamer,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
D'Von Campbell,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Robbie Stenzel,2014.0,Defensive Wing,,,,,,0.0,,,,,,,
Nick Madray,2014.0,Scoring Wing,Stretch Big,0.534,0.128,2.1,6.1,47.5,Did Not Stick:0.466:0|Stretch Big:0.283:6|Non-Specialized Big:0.148:-0|Passing Hub:0.082:0,Superstar:0.00|All-Star:0.59|Starter:1.75|Role Player:7.14|Replacement:26.41|Negative:8.46,-1.48,0.0,0.0,0.76,10.46
J.J. Moore,2014.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Maurice Creek,2014.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Leslie McDonald,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Kerry Hammonds II,2014.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Jordan Percell,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Colin Gurry,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Davon Usher,2014.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Travis Wilkins,2014.0,Point Forward,Scoring Wing,0.378,0.094,0.8,4.8,21.5,Did Not Stick:0.622:0|Scoring Wing:0.129:6|Non-Specialized Playmaker:0.111:-0|Point Forward:0.083:1,Superstar:0.00|All-Star:0.00|Starter:0.40|Role Player:2.57|Replacement:13.50|Negative:3.64,-1.42,0.0,0.0,0.0,5.05
Travis Robinson,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Elliot Kampen,2014.0,Point Forward,Scoring Wing,0.378,0.094,0.8,4.8,21.5,Did Not Stick:0.622:0|Scoring Wing:0.129:6|Non-Specialized Playmaker:0.111:-0|Point Forward:0.083:1,Superstar:0.00|All-Star:0.00|Starter:0.40|Role Player:2.57|Replacement:13.50|Negative:3.64,-1.42,0.0,0.0,0.0,5.05
Eric McAlister,2014.0,3-and-D Wing,Non-Specialized Wing,0.794,0.158,0.9,4.8,10.5,Did Not Stick:0.206:0|Non-Specialized Wing:0.103:-1|Defensive Guard:0.103:8|Defensive Wing:0.103:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:2.53|Replacement:3.29|Negative:3.90,-5.23,-1.83,0.0,2.69,12.22
Ben Cherry,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Luke Devlin,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Crandall Head,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
O'Karo Akamune,2014.0,Defensive Wing,,,,,,0.0,,,,,,,
Frank Dounis,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Chris Heine,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Jake Duncan,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Rico Sanders,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Ross Wilson,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Errick Peck,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Blake Johnson,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
C.J. Mitchell,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Tharone Chilton,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Shawn Lester,2014.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Jordan Latham,2014.0,Slashing Wing,,,,,,0.0,,,,,,,
R.J. McCray,2014.0,Spacing Guard,,,,,,0.0,,,,,,,
Erik Fromm,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Dominick Scelfo,2014.0,Point Forward,Scoring Wing,0.378,0.094,0.8,4.8,21.5,Did Not Stick:0.622:0|Scoring Wing:0.129:6|Non-Specialized Playmaker:0.111:-0|Point Forward:0.083:1,Superstar:0.00|All-Star:0.00|Starter:0.40|Role Player:2.57|Replacement:13.50|Negative:3.64,-1.42,0.0,0.0,0.0,5.05
Claybrin McMath,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Akachi Okugo,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Stefan Zecevic,2014.0,Slashing Wing,,,,,,0.0,,,,,,,
Gordon Ball,2014.0,Defensive Wing,,,,,,0.0,,,,,,,
Marquis Todd,2014.0,Non-Specialized Wing,,,,,,0.0,,,,,,,
Niko Roberts,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Lukas Poderis,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Reginald Smith,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Sebastian Koch,2014.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Jeff Drew,2014.0,Defensive Wing,,,,,,0.0,,,,,,,
Enouma Ebinum,2014.0,Non-Specialized Wing,,,,,,0.0,,,,,,,
Ryan Sypkens,2014.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Dylan Alexander,2014.0,Point Forward,Scoring Wing,0.378,0.094,0.8,4.8,21.5,Did Not Stick:0.622:0|Scoring Wing:0.129:6|Non-Specialized Playmaker:0.111:-0|Point Forward:0.083:1,Superstar:0.00|All-Star:0.00|Starter:0.40|Role Player:2.57|Replacement:13.50|Negative:3.64,-1.42,0.0,0.0,0.0,5.05
Jason Brickman,2014.0,Scoring Playmaker,Non-Specialized Playmaker,0.585,0.096,1.7,5.9,80.2,Did Not Stick:0.415:0|Non-Specialized Playmaker:0.346:-0|Spacing Guard:0.054:10|Scoring Playmaker:0.050:25,Superstar:0.00|All-Star:0.45|Starter:3.01|Role Player:13.14|Replacement:33.71|Negative:21.66,-1.99,-0.77,0.0,1.23,7.26
Stephen Wilson,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Dan Chapman,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Jose Long,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Brandyn Curry,2014.0,Scoring Playmaker,Non-Specialized Playmaker,0.585,0.096,1.7,5.9,80.2,Did Not Stick:0.415:0|Non-Specialized Playmaker:0.346:-0|Spacing Guard:0.054:10|Scoring Playmaker:0.050:25,Superstar:0.00|All-Star:0.45|Starter:3.01|Role Player:13.14|Replacement:33.71|Negative:21.66,-1.99,-0.77,0.0,1.23,7.26
Kindon Crowder,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Travis Wallace,2014.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Zay Henderson,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Matt MacDougall,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Drake Thomas,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Sean McGonagill,2014.0,Scoring Playmaker,Non-Specialized Playmaker,0.585,0.096,1.7,5.9,80.2,Did Not Stick:0.415:0|Non-Specialized Playmaker:0.346:-0|Spacing Guard:0.054:10|Scoring Playmaker:0.050:25,Superstar:0.00|All-Star:0.45|Starter:3.01|Role Player:13.14|Replacement:33.71|Negative:21.66,-1.99,-0.77,0.0,1.23,7.26
Linwood Ross Jr.,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Miguel Cartagena,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Alex Majewski,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Thair Heath,2014.0,Defensive Wing,Rim Protector,0.414,0.099,2.1,5.2,33.3,Did Not Stick:0.586:0|Rim Protector:0.117:7|Non-Specialized Big:0.093:-0|Stretch Big:0.082:6,Superstar:0.00|All-Star:0.02|Starter:0.98|Role Player:7.58|Replacement:17.69|Negative:3.03,-0.25,0.0,0.0,2.37,5.71
Tyler Tafoya,2014.0,Slashing Wing,,,,,,0.0,,,,,,,
Scooter Gillette,2014.0,Slashing Wing,,,,,,0.0,,,,,,,
Javorn Farrell,2014.0,Initiator Wing,Non-Specialized Wing,0.64,0.112,1.9,6.4,63.7,Did Not Stick:0.360:0|Non-Specialized Wing:0.214:-1|Scoring Wing:0.096:6|Stretch Big:0.091:6,Superstar:0.00|All-Star:0.76|Starter:1.99|Role Player:10.12|Replacement:24.84|Negative:17.16,-2.98,-0.44,0.0,1.76,8.3
LJ McIntosh,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Casey Walker,2014.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
T'Ziah Wood-Smith,2014.0,Slashing Wing,,,,,,0.0,,,,,,,
Cameron Craig,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Brandon West,2014.0,Rim Protector,Rim Protector,0.414,0.099,2.1,5.2,33.3,Did Not Stick:0.586:0|Rim Protector:0.117:7|Non-Specialized Big:0.093:-0|Stretch Big:0.082:6,Superstar:0.00|All-Star:0.02|Starter:0.98|Role Player:7.58|Replacement:17.69|Negative:3.03,-0.25,0.0,0.0,2.37,5.71
Jamal Webb,2014.0,Defensive Guard,,,,,,0.0,,,,,,,
John Caleb Sanders,2014.0,Scoring Playmaker,Non-Specialized Playmaker,0.585,0.096,1.7,5.9,80.2,Did Not Stick:0.415:0|Non-Specialized Playmaker:0.346:-0|Spacing Guard:0.054:10|Scoring Playmaker:0.050:25,Superstar:0.00|All-Star:0.45|Starter:3.01|Role Player:13.14|Replacement:33.71|Negative:21.66,-1.99,-0.77,0.0,1.23,7.26
Tyler Ellerman,2014.0,Slashing Wing,,,,,,0.0,,,,,,,
Joe Kammerer,2014.0,Non-Specialized Wing,,,,,,0.0,,,,,,,
Josh Clemons,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Zeke Upshaw,2014.0,Initiator Wing,Non-Specialized Wing,0.64,0.112,1.9,6.4,63.7,Did Not Stick:0.360:0|Non-Specialized Wing:0.214:-1|Scoring Wing:0.096:6|Stretch Big:0.091:6,Superstar:0.00|All-Star:0.76|Starter:1.99|Role Player:10.12|Replacement:24.84|Negative:17.16,-2.98,-0.44,0.0,1.76,8.3
Akil Mitchell,2014.0,Defensive Wing,,,,,,0.0,,,,,,,
Ude Ifeanyichukwu,2014.0,Rim Protector,Rim Protector,0.414,0.099,2.1,5.2,33.3,Did Not Stick:0.586:0|Rim Protector:0.117:7|Non-Specialized Big:0.093:-0|Stretch Big:0.082:6,Superstar:0.00|All-Star:0.02|Starter:0.98|Role Player:7.58|Replacement:17.69|Negative:3.03,-0.25,0.0,0.0,2.37,5.71
Marcus Blake,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Cortland Henry,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Ervin Thomas,2014.0,Defensive Wing,,,,,,0.0,,,,,,,
Gerson Santo,2014.0,Non-Specialized Wing,,,,,,0.0,,,,,,,
Orlando Williams,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Anthanee Doyle,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Gerard Coleman,2014.0,Slashing Wing,,,,,,0.0,,,,,,,
Jake Thomas,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Jordan Montgomery,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Austin Ramljak,2014.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
J. Cunnigham D,2014.0,Rim Protector,Rim Protector,0.414,0.099,2.1,5.2,33.3,Did Not Stick:0.586:0|Rim Protector:0.117:7|Non-Specialized Big:0.093:-0|Stretch Big:0.082:6,Superstar:0.00|All-Star:0.02|Starter:0.98|Role Player:7.58|Replacement:17.69|Negative:3.03,-0.25,0.0,0.0,2.37,5.71
Joe Fagan,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Justin Simmons,2014.0,Point Forward,Scoring Wing,0.378,0.094,0.8,4.8,21.5,Did Not Stick:0.622:0|Scoring Wing:0.129:6|Non-Specialized Playmaker:0.111:-0|Point Forward:0.083:1,Superstar:0.00|All-Star:0.00|Starter:0.40|Role Player:2.57|Replacement:13.50|Negative:3.64,-1.42,0.0,0.0,0.0,5.05
Alex Gauna,2014.0,Non-Specialized Wing,,,,,,0.0,,,,,,,
Titus Rubles,2014.0,Defensive Wing,,,,,,0.0,,,,,,,
Mike Poole,2014.0,Point Forward,Scoring Wing,0.378,0.094,0.8,4.8,21.5,Did Not Stick:0.622:0|Scoring Wing:0.129:6|Non-Specialized Playmaker:0.111:-0|Point Forward:0.083:1,Superstar:0.00|All-Star:0.00|Starter:0.40|Role Player:2.57|Replacement:13.50|Negative:3.64,-1.42,0.0,0.0,0.0,5.05
Preston Purifoy,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Ben Eblen,2014.0,Defensive Guard,,,,,,0.0,,,,,,,
Gerald Williams,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Barrington Alston,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Kyle Weldon,2014.0,Defensive Wing,Rim Protector,0.414,0.099,2.1,5.2,33.3,Did Not Stick:0.586:0|Rim Protector:0.117:7|Non-Specialized Big:0.093:-0|Stretch Big:0.082:6,Superstar:0.00|All-Star:0.02|Starter:0.98|Role Player:7.58|Replacement:17.69|Negative:3.03,-0.25,0.0,0.0,2.37,5.71
Zane Gibson,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Austin Adams,2014.0,Spacing Guard,,,,,,0.0,,,,,,,
Martino Brock,2014.0,Point Forward,Scoring Wing,0.378,0.094,0.8,4.8,21.5,Did Not Stick:0.622:0|Scoring Wing:0.129:6|Non-Specialized Playmaker:0.111:-0|Point Forward:0.083:1,Superstar:0.00|All-Star:0.00|Starter:0.40|Role Player:2.57|Replacement:13.50|Negative:3.64,-1.42,0.0,0.0,0.0,5.05
Julian Chiera,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Graham Pingree,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Jay Bowie,2014.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Raphael Akpejiori,2014.0,Non-Specialized Wing,,,,,,0.0,,,,,,,
