player_name,team,season,h1_min,h1_FGM,h1_FGA,h1_3PM,h1_3PA,h1_FTM,h1_FTA,h1_AST,h1_STL,h1_BLK,h1_ORB,h1_DRB,h1_TO,h2_min,h2_FGM,h2_FGA,h2_3PM,h2_3PA,h2_FTM,h2_FTA,h2_AST,h2_STL,h2_BLK,h2_ORB,h2_DRB,h2_TO
- Jah'Mari,Trinity Baptist,2019-20,20.0,0,2,0,0,0,0,0,0,0,0,0,0,14.93,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Banks,Wyoming,2019-20,20.0,29,60,5,15,8,11,1,10,3,3,52,26,18.73,24,48,8,17,20,28,2,8,7,1,30,25
A.J. Caldwell,Chattanooga,2019-20,20.0,23,54,12,32,3,6,0,10,2,11,46,12,18.12,27,57,15,35,5,8,1,12,3,6,45,10
A.J. Frye,NC Wesleyan,2019-20,20.0,10,19,0,2,2,2,0,0,0,1,5,1,14.9,5,10,1,1,0,0,0,0,0,3,2,3
A.J. Kirby,Fresno Pacific,2019-20,20.0,0,2,0,1,0,1,0,1,0,0,3,0,14.85,0,0,0,0,0,0,0,1,0,0,1,1
A.J. Labriola,St. Francis (PA),2019-20,0.0,0,1,0,1,0,0,0,0,0,0,1,0,14.87,1,2,0,0,0,0,0,0,0,0,0,0
A.J. Lawson,South Carolina,2019-20,20.0,132,325,42,127,78,101,2,41,5,12,111,91,17.58,147,314,35,106,82,128,3,28,3,24,68,70
A.J. McNeil,Iona,2019-20,20.0,0,1,0,0,0,0,0,1,0,0,0,1,14.9,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Oliver II,Old Dominion,2019-20,20.0,33,98,22,70,12,14,0,10,4,11,29,9,16.42,39,114,28,85,27,35,0,8,0,10,43,12
A.J. Reeves,Providence,2019-20,20.0,36,94,20,61,7,14,1,6,4,10,31,19,14.95,29,85,14,43,12,16,5,15,1,14,30,17
A.J. Sawyers,Widener,2019-20,20.0,0,3,0,1,0,0,0,0,0,1,0,1,14.8,0,2,0,1,1,2,0,0,0,0,0,1
A.J. Taylor,NC State,2019-20,15.0,0,0,0,0,1,2,0,0,0,0,1,1,20.0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Turner,Northwestern,2019-20,20.0,23,67,11,36,7,12,4,7,5,2,27,7,20.0,24,66,8,31,13,21,6,4,4,2,29,5
