player_name,team,season,h1_min,h1_FGM,h1_FGA,h1_3PM,h1_3PA,h1_FTM,h1_FTA,h1_AST,h1_STL,h1_BLK,h1_ORB,h1_DRB,h1_TO,h2_min,h2_FGM,h2_FGA,h2_3PM,h2_3PA,h2_FTM,h2_FTA,h2_AST,h2_STL,h2_BLK,h2_ORB,h2_DRB,h2_TO
,Southern,2024-25,12.63,0,0,0,0,0,0,0,0,0,0,0,0,16.98,0,0,0,0,0,0,0,0,0,0,0,0
A J Rouse,,2024-25,2.07,0,3,0,1,0,0,1,0,0,0,1,0,0.0,0,2,0,1,0,0,0,0,0,0,1,0
A.J. Patterson,Air Force,2024-25,4.75,0,2,0,1,0,0,0,0,0,0,2,1,22.63,1,2,0,1,1,2,0,0,0,1,1,2
A.J. Staton-McCray,Miami,2024-25,80.7,42,97,18,47,13,14,7,17,7,8,26,11,93.12,33,87,11,44,18,23,0,14,10,10,22,13
A.J. Wills,Wyoming,2024-25,70.37,23,56,11,24,3,7,5,4,2,3,11,14,70.52,21,55,11,28,18,23,7,4,0,1,10,15
AC Bryant,Alabama A&M,2024-25,72.38,59,118,24,50,17,31,21,20,0,23,38,15,132.63,59,132,22,57,57,79,20,16,2,13,39,16
AD Diedhiou,UL Monroe,2024-25,52.05,15,33,0,0,6,9,10,11,7,15,38,7,74.83,17,31,0,0,11,17,15,1,8,22,29,6
AJ Allenspach,Army,2024-25,78.98,79,112,1,1,30,46,22,11,6,48,65,23,100.93,53,82,0,0,39,59,19,7,4,39,67,26
AJ Barnes,Southern,2024-25,43.58,29,63,1,3,14,23,5,8,1,22,35,9,23.7,15,35,0,3,7,7,4,6,3,12,24,6
AJ Bates,Louisiana Tech,2024-25,83.43,18,50,6,23,7,15,19,12,1,2,25,16,62.72,23,39,7,13,15,22,17,8,1,4,21,10
AJ Belton,,2024-25,0.2,2,3,0,1,1,2,0,0,0,1,0,0,0.0,2,5,0,0,0,0,2,0,0,1,1,0
AJ Braun,California Baptist,2024-25,37.65,47,87,3,5,14,30,7,5,3,22,38,23,36.23,43,85,0,1,29,39,6,3,5,25,32,10
