player_name,team,season,h1_min,h1_FGM,h1_FGA,h1_3PM,h1_3PA,h1_FTM,h1_FTA,h1_AST,h1_STL,h1_BLK,h1_ORB,h1_DRB,h1_TO,h2_min,h2_FGM,h2_FGA,h2_3PM,h2_3PA,h2_FTM,h2_FTA,h2_AST,h2_STL,h2_BLK,h2_ORB,h2_DRB,h2_TO
A'Ram Johnson,Haskell,2017-18,20.0,1,2,1,2,0,0,0,0,0,0,0,0,14.9,3,5,0,1,0,1,0,0,0,1,0,0
A.C. Reid,Tennessee State,2017-18,20.0,1,15,1,15,0,0,0,1,1,0,4,1,14.63,3,13,3,13,0,0,1,1,0,0,3,2
A.J. Astroth,Hampton,2017-18,20.0,2,5,0,0,4,5,0,0,1,2,4,1,17.85,4,10,0,1,1,1,0,2,2,2,7,0
A.J. Bowers,Chattanooga,2017-18,0.0,0,0,0,0,0,0,0,1,1,2,2,2,14.9,2,3,0,1,0,0,0,0,0,1,3,0
A.J. Caldwell,South Alabama,2017-18,20.0,1,5,1,4,0,0,0,0,1,1,2,1,17.9,1,6,0,5,0,0,0,0,0,0,4,1
A.J. Davis,UCF,2017-18,20.0,53,135,14,45,40,58,11,17,3,31,85,36,20.0,62,128,16,43,71,98,9,12,9,25,84,23
A.J. Frye,NC Wesleyan,2017-18,20.0,6,14,1,3,5,7,0,1,0,2,8,3,14.68,7,11,2,3,2,3,0,1,1,3,5,3
A.J. Gareri,Ohio,2017-18,20.0,1,3,0,1,2,3,0,0,0,0,5,2,20.0,0,0,0,0,0,0,0,0,0,0,4,0
A.J. Harris,East Central,2017-18,20.0,47,132,16,60,10,15,3,13,9,3,20,22,16.12,60,135,17,53,19,37,2,13,1,8,22,25
A.J. Hicks,Alice Lloyd College,2017-18,20.0,34,76,4,21,31,46,0,22,2,4,25,30,14.98,30,77,10,30,44,66,0,20,4,9,19,25
A.J. Jacobson,North Dakota State,2017-18,20.0,44,90,24,54,10,10,0,8,6,4,61,12,17.87,45,93,26,57,35,40,0,5,5,5,51,12
A.J. John,,2017-18,0.0,32,69,12,37,12,12,0,5,4,13,35,8,3.5,38,74,20,48,6,9,0,3,7,17,33,12
A.J. Lapray,Rice,2017-18,20.0,17,41,13,30,1,1,1,3,0,1,15,8,20.0,14,32,11,24,4,4,0,7,0,3,12,7
A.J. Lawson,North Texas,2017-18,20.0,58,151,7,30,19,32,0,16,7,20,64,29,14.73,62,133,5,20,40,66,2,10,5,21,52,34
A.J. Mosby,Alcorn State,2017-18,20.0,54,113,26,61,11,14,0,20,3,4,58,28,14.73,59,107,13,36,17,22,0,11,0,5,37,19
A.J. Youngman,Eastern Kentucky,2017-18,20.0,15,45,14,37,2,2,0,6,0,2,15,10,20.0,13,33,9,25,1,2,0,3,2,2,12,2
AC Reid,Tennessee State,2017-18,20.0,0,0,0,0,0,0,2,0,0,0,0,0,14.92,0,0,0,0,0,0,1,0,0,0,0,0
AJ Astroth,Hampton,2017-18,0.0,0,0,0,0,0,0,1,0,0,0,0,0,17.85,0,0,0,0,0,0,1,0,0,0,0,0
AJ Bowers,Chattanooga,2017-18,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,0,0,0,0,0,0,1,0,0,0,0,0
