player_name,team,opponent,game_id,date,is_home,fgm,fga,ftm,fta,tpm,tpa,pts,ast,tov,stl,blk,oreb,dreb,pf,possessions,team_possessions,usg_proxy,ortg_proxy,efg_pct
A'Ram Johnson,Haskell,UMKC,400990586,2017-11-12,False,4,7,0,1,1,3,9,0,0,0,0,1,0,0,7.44,101.08,7.4,121.0,64.3
A.C. Reid,Tennessee State,Kansas,400989174,2017-11-10,False,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4.0,80.04,5.0,0.0,0.0
A.C. Reid,Tennessee State,Reinhardt,400990881,2017-11-13,True,2,3,0,0,2,3,6,0,1,1,0,0,2,1,4.0,83.72,4.8,150.0,100.0
A.C. Reid,Tennessee State,Middle Tennessee,400990891,2017-11-18,True,1,6,0,0,1,6,3,0,0,0,0,0,2,3,6.0,75.0,8.0,50.0,25.0
A.C. Reid,Tennessee State,Canisius,400990900,2017-11-21,True,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3.0,64.84,4.6,0.0,0.0
A.C. Reid,Tennessee State,Fisk,400990910,2017-11-28,True,1,4,0,0,1,4,3,0,1,0,0,0,1,1,5.0,84.32,5.9,60.0,37.5
A.C. Reid,Tennessee State,North Carolina A&T,400990932,2017-12-15,False,0,2,0,0,0,2,0,0,1,0,0,0,1,0,3.0,69.76,4.3,0.0,0.0
A.C. Reid,Tennessee State,Purdue,400986455,2017-12-21,False,0,5,0,0,0,5,0,1,0,0,1,0,1,0,5.0,72.04,6.9,10.0,0.0
A.J. Astroth,Hampton,Bluefield College,400992934,2017-11-12,True,6,10,4,4,0,1,16,0,1,1,1,2,4,2,12.76,81.44,15.7,125.4,60.0
A.J. Astroth,Hampton,Coastal Carolina,400990394,2017-12-06,True,0,3,0,0,0,0,0,0,0,1,1,1,3,2,3.0,86.92,3.5,0.0,0.0
A.J. Bowers,Chattanooga,Tennessee Wesleyan,400988682,2017-11-25,True,2,2,0,0,0,0,4,0,3,0,0,2,3,2,5.0,89.04,5.6,80.0,100.0
A.J. Caldwell,South Alabama,Texas Tech,400989266,2017-11-10,False,0,2,0,0,0,2,0,0,1,0,0,0,0,0,3.0,83.2,3.6,0.0,0.0
A.J. Caldwell,Boyce,Tennessee Tech,400990886,2017-11-16,False,1,9,0,0,1,8,3,0,2,0,0,1,4,0,11.0,91.32,12.0,27.3,16.7
A.J. Caldwell,South Alabama,Florida International,400990390,2017-12-02,False,1,4,0,0,0,3,2,0,1,0,0,1,2,1,5.0,74.48,6.7,40.0,25.0
A.J. Davis,UCF,Mercer,400987928,2017-11-10,True,3,11,2,2,0,4,8,0,1,0,3,3,12,2,12.88,86.28,14.9,62.1,27.3
A.J. Davis,UCF,Gardner-Webb,400987943,2017-11-15,True,5,11,5,7,0,2,15,0,3,0,3,3,7,4,17.08,81.6,20.9,87.8,45.5
A.J. Davis,UCF,William & Mary,400987953,2017-11-18,True,6,10,4,5,1,2,17,0,1,1,0,3,7,1,13.2,74.68,17.7,128.8,65.0
A.J. Davis,UCF,Nebraska,400986382,2017-11-23,False,2,7,3,4,1,2,8,0,4,3,0,1,9,2,12.76,77.0,16.6,62.7,35.7
A.J. Davis,UCF,West Virginia,400999688,2017-11-24,False,2,6,3,5,0,0,7,0,6,1,0,5,5,2,14.2,89.96,15.8,49.3,33.3
A.J. Davis,UCF,St. John's,400999690,2017-11-26,True,2,12,3,5,0,2,7,0,0,2,1,4,6,1,14.2,83.12,17.1,49.3,16.7
A.J. Davis,UCF,Missouri,400987211,2017-11-30,True,5,11,3,6,1,5,14,0,2,0,0,2,7,1,15.64,69.28,22.6,89.5,50.0
A.J. Davis,UCF,Alabama,400987219,2017-12-03,False,2,8,2,4,0,2,6,6,1,2,1,1,6,1,10.76,75.6,14.2,83.6,25.0
A.J. Davis,UCF,Southern,400987999,2017-12-09,True,5,8,1,1,1,3,12,0,2,0,0,2,6,0,10.44,72.04,14.5,114.9,68.8
A.J. Davis,UCF,SE Louisiana,400988006,2017-12-12,True,6,10,0,1,1,4,13,0,0,1,0,1,6,1,10.44,69.8,15.0,124.5,65.0
A.J. Davis,UCF,Stetson,400988024,2017-12-19,False,4,8,2,2,1,3,11,0,2,1,0,1,9,2,10.88,71.52,15.2,101.1,56.2
A.J. Davis,UCF,South Carolina State,400988029,2017-12-21,True,2,3,6,6,1,1,11,0,1,0,0,1,5,0,6.64,76.2,8.7,165.7,83.3
A.J. Davis,UCF,SMU,400988036,2017-12-27,False,4,10,4,8,0,2,12,1,1,0,0,0,4,4,14.52,76.16,19.1,86.1,40.0
A.J. Davis,UCF,East Carolina,400988044,2017-12-31,False,6,11,5,8,0,2,17,0,3,1,0,3,7,1,17.52,75.36,23.2,97.0,54.5
