player_name,team,season,h1_min,h1_FGM,h1_FGA,h1_3PM,h1_3PA,h1_FTM,h1_FTA,h1_AST,h1_STL,h1_BLK,h1_ORB,h1_DRB,h1_TO,h2_min,h2_FGM,h2_FGA,h2_3PM,h2_3PA,h2_FTM,h2_FTA,h2_AST,h2_STL,h2_BLK,h2_ORB,h2_DRB,h2_TO
A'mari McCray,Grambling,2021-22,20.0,12,24,1,2,1,9,2,2,2,7,14,6,15.75,14,36,2,4,5,10,4,5,3,6,8,6
A.J. Caldwell,Chattanooga,2021-22,20.0,27,76,20,61,8,10,0,11,4,10,45,11,20.0,24,65,16,49,9,12,1,12,3,10,38,22
A.J. Griffin,Duke,2021-22,0.0,36,75,18,38,9,11,9,4,5,11,24,10,20.0,37,66,14,29,10,16,9,6,4,9,29,4
A.J. Hamrick,Charleston Southern,2021-22,0.0,2,3,0,0,1,2,0,0,1,1,5,2,14.87,3,9,0,1,3,6,0,0,3,7,4,1
A.J. Hoggard,Michigan State,2021-22,20.0,40,102,2,10,16,26,58,12,11,7,43,42,18.18,56,117,5,22,32,52,51,13,5,7,25,28
A.J. Kirby,Fresno Pacific,2021-22,20.0,2,2,0,0,0,0,0,0,0,1,1,1,14.98,0,0,0,0,0,0,0,0,0,0,1,1
A.J. Labriola,St. Francis (PA),2021-22,20.0,1,2,1,2,0,0,0,0,0,0,0,0,14.87,1,2,0,0,0,0,0,1,0,0,0,1
A.J. McGinnis,Cincinnati,2021-22,20.0,4,11,2,8,0,0,0,0,0,0,1,2,15.65,0,5,0,5,0,0,0,0,0,0,2,0
A.J. Oliver II,Old Dominion,2021-22,20.0,10,40,4,23,9,16,0,6,0,10,30,11,14.83,12,37,5,25,6,10,0,6,3,5,17,12
A.J. Rainey,LSU Alexandria,2021-22,20.0,2,5,0,1,3,4,0,1,0,0,2,2,20.0,3,9,1,4,0,0,0,1,0,0,2,4
A.J. Reeves,Providence,2021-22,20.0,38,130,28,85,12,16,6,5,3,12,30,14,20.0,50,106,30,71,23,29,12,7,2,5,30,9
A.J. Staton-McCray,Samford,2021-22,20.0,3,10,2,5,0,0,0,3,0,3,1,2,20.0,2,4,0,2,2,5,0,0,0,1,3,0
