player_name,team,season,h1_min,h1_FGM,h1_FGA,h1_3PM,h1_3PA,h1_FTM,h1_FTA,h1_AST,h1_STL,h1_BLK,h1_ORB,h1_DRB,h1_TO,h2_min,h2_FGM,h2_FGA,h2_3PM,h2_3PA,h2_FTM,h2_FTA,h2_AST,h2_STL,h2_BLK,h2_ORB,h2_DRB,h2_TO
A'lahn Sumler,,2023-24,6.23,66,173,26,81,18,27,23,16,2,9,37,25,0.0,81,192,32,94,35,47,23,11,6,7,35,21
A.J. Hoggard,Michigan St,2023-24,17.92,48,140,12,36,42,48,17,26,10,9,46,38,19.57,73,164,12,32,43,57,19,21,2,11,38,24
A.J. Lopez,Maine,2023-24,20.0,35,93,6,37,10,14,0,9,3,4,16,7,17.43,38,82,18,37,28,31,0,10,4,3,11,18
A.J. Neal,Chicago St,2023-24,0.0,23,66,11,36,6,6,0,8,1,4,9,11,14.95,25,77,11,41,19,28,0,13,0,7,16,6
A.J. Staton-McCray,Samford,2023-24,20.0,57,147,16,49,24,28,2,28,4,13,46,22,14.75,66,126,21,40,41,51,3,21,11,12,61,26
A.J. Thomas,Wash and Lee,2023-24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17.97,2,2,1,1,0,0,0,0,0,0,0,0
A.J. Wills,Holy Cross,2023-24,20.0,16,44,5,12,9,11,0,6,1,1,7,5,19.85,22,52,5,21,4,5,0,1,0,2,5,3
A.J. Wilson,Montana St,2023-24,20.0,0,2,0,0,0,0,0,0,0,0,0,0,19.8,3,6,1,4,0,0,0,0,0,2,0,0
AB Oladipo,,2023-24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0
AC Bryant,Alabama A&M,2023-24,20.0,15,53,2,15,6,9,7,6,3,5,29,14,16.9,19,61,2,9,26,32,10,4,0,8,16,8
AD Diedhiou,UL Monroe,2023-24,20.0,21,50,0,0,2,10,12,8,7,26,34,8,14.65,10,31,0,0,10,26,11,6,6,24,21,11
AJ Allenspach,Army,2023-24,20.0,17,31,0,0,6,15,7,5,2,16,15,13,17.6,14,25,0,1,5,10,4,5,3,16,18,14
AJ Aungst,Schreiner,2023-24,20.0,0,4,0,2,0,0,0,1,0,0,1,1,14.47,0,1,0,0,0,0,0,0,0,0,0,0
AJ Belton,Morehead St,2023-24,0.0,2,3,0,0,0,0,1,1,0,0,3,3,14.7,0,6,0,1,0,0,1,1,1,1,0,1
AJ Braun,,2023-24,2.28,91,140,0,0,27,47,17,4,23,43,59,20,0.0,69,93,0,0,29,46,12,6,12,29,66,34
AJ Brown,Ohio,2023-24,20.0,19,49,5,23,5,10,5,5,1,5,10,5,17.53,9,28,5,12,4,11,3,2,1,4,15,4
AJ Burch,,2023-24,2.73,0,2,0,1,2,2,1,1,0,2,0,0,0.0,1,4,0,2,2,3,1,1,0,2,0,0
AJ Burgin,Idaho St,2023-24,20.0,29,73,15,48,4,4,12,7,1,11,24,14,14.75,18,49,10,32,14,20,11,10,0,12,19,10
AJ Cajuste,North American,2023-24,20.0,21,69,6,24,15,21,42,9,1,4,18,40,14.75,37,102,8,37,53,66,35,13,0,6,32,21
AJ Casey,Miami,2023-24,20.0,6,22,0,8,2,6,6,2,5,10,13,2,14.87,10,19,0,4,3,6,1,1,1,5,13,3
AJ Clark,VMI,2023-24,20.0,12,32,1,15,12,17,21,18,4,2,32,30,19.72,15,43,1,11,10,14,21,13,1,2,20,13
AJ Clayton,Ohio,2023-24,20.0,59,120,36,83,12,15,8,9,27,16,47,18,17.53,78,150,37,94,37,44,17,9,27,27,59,13
AJ Dancler,Le Moyne,2023-24,20.0,22,57,11,33,18,23,14,7,0,3,24,16,14.8,20,57,8,25,16,21,19,5,1,3,29,16
AJ Esposito,St. Joe's LI,2023-24,0.0,1,1,0,0,0,0,0,0,0,0,0,1,14.87,2,4,0,0,0,0,1,1,0,1,0,0
AJ Ferguson,Kentucky St,2023-24,20.0,40,85,11,35,25,33,13,7,2,15,50,18,14.65,35,70,6,22,28,40,8,5,4,14,45,14
AJ George,Long Beach St,2023-24,20.0,78,135,2,14,30,38,27,18,4,22,51,26,19.7,63,127,8,17,48,70,24,7,14,19,49,25
AJ Hess,Cleary U,2023-24,15.0,0,5,0,3,0,0,0,0,0,0,1,1,19.7,0,0,0,0,0,0,0,0,0,0,0,0
AJ Hoggard,Michigan St,2023-24,19.2,0,0,0,0,0,0,72,0,0,0,0,0,19.57,0,0,0,0,0,0,67,0,0,0,0,0
AJ Huddleston,E Oregon,2023-24,20.0,4,5,2,3,0,0,2,1,0,0,2,0,14.78,1,2,0,1,0,0,1,1,0,0,0,1
AJ Judd,Le Moyne,2023-24,20.0,0,2,0,1,4,4,0,0,0,0,0,0,14.77,0,0,0,0,0,0,0,0,0,0,3,1
AJ Lesburt Jr,Brown,2023-24,0.0,0,0,0,0,0,0,3,0,0,0,0,0,17.98,0,0,0,0,0,0,4,0,0,0,0,0
AJ Lesburt Jr.,Brown,2023-24,20.0,19,52,13,37,3,4,1,6,1,3,24,9,17.68,21,47,10,31,1,1,3,4,2,2,17,7
AJ Lopez,Maine,2023-24,0.0,0,0,0,0,0,0,6,0,0,0,0,0,17.85,0,0,0,0,0,0,11,0,0,0,0,0
AJ Magbegor,Howard,2023-24,0.0,9,16,0,0,6,11,2,2,1,6,9,8,15.57,3,9,0,0,4,6,4,1,0,5,3,5
AJ McGinnis,Lipscomb,2023-24,20.0,72,164,34,88,18,19,16,5,3,4,34,17,17.53,76,155,42,100,20,27,10,10,1,7,26,22
AJ McKee,Queens,2023-24,20.0,114,254,35,99,48,67,42,31,4,16,51,33,17.47,97,214,28,90,71,95,36,23,6,17,45,29
AJ Muller,Coastalga,2023-24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14.92,0,1,0,0,0,0,0,0,0,0,0,1
AJ Neal,Chicago St,2023-24,0.0,0,0,0,0,0,0,14,0,0,0,0,0,20.0,0,0,0,0,0,0,14,0,0,0,0,0
AJ Smith,The Citadel,2023-24,20.0,147,357,32,107,87,102,39,19,7,37,146,72,17.4,159,349,34,98,110,144,38,32,11,50,155,44
AJ Staton-McCray,Samford,2023-24,20.0,0,0,0,0,0,0,20,0,0,0,0,0,14.73,0,0,0,0,0,0,17,0,0,0,0,0
AJ Storr,Wisconsin,2023-24,20.0,119,266,27,74,64,83,18,9,2,22,57,31,14.2,90,214,20,71,59,69,13,10,3,16,43,24
AJ Williams,Champ Christian,2023-24,20.0,18,54,9,27,5,8,14,8,2,1,13,25,14.63,19,53,5,19,12,19,12,8,1,1,8,17
AJ Wills,Holy Cross,2023-24,0.0,0,0,0,0,0,0,8,0,0,0,0,0,20.0,0,0,0,0,0,0,11,0,0,0,0,0
AJ Wilson,Rocky Mnt,2023-24,20.0,0,0,0,0,0,0,1,0,0,0,0,0,19.8,0,0,0,0,0,0,1,0,0,0,0,0
AJ Wright Jr,Anderson SC,2023-24,20.0,0,0,0,0,0,0,2,0,0,0,0,0,19.77,0,0,0,0,0,0,5,0,0,0,0,0
AJ Wright Jr.,Anderson SC,2023-24,20.0,2,5,0,1,0,2,0,4,0,3,1,3,19.77,2,5,0,2,0,0,0,0,0,0,1,1
AK Abusaab,St. Joe's LI,2023-24,20.0,0,2,0,1,0,0,0,0,0,0,0,1,14.62,1,1,0,0,0,0,0,0,0,0,1,0
AK Okereke,Cornell,2023-24,20.0,39,71,7,29,13,18,17,5,2,11,16,20,19.57,32,57,7,16,22,25,22,9,5,7,26,8
Aa'Reyon Jones,Coppin St,2023-24,0.0,3,10,1,4,0,0,3,5,0,2,3,3,19.52,6,13,1,5,5,8,8,6,0,1,7,5
Aa'Reyon Munir-Jones,Coppin St,2023-24,0.0,8,37,1,10,8,18,8,14,0,10,20,17,15.27,17,45,2,14,7,10,12,12,1,9,13,13
Aamari Smith,Whittier,2023-24,20.0,0,2,0,0,0,0,1,1,0,0,0,1,14.77,0,0,0,0,0,0,1,0,0,0,0,0
Aamer Muhammad,Troy,2023-24,20.0,52,148,22,68,23,31,30,19,2,13,29,23,14.6,62,140,23,65,51,60,32,17,1,12,34,31
Aamos Laavainen,,2023-24,0.0,0,0,0,0,0,0,0,0,0,2,1,1,2.93,0,0,0,0,0,0,3,0,0,0,1,1
Aanen Moody,Montana,2023-24,20.0,110,229,44,111,21,23,43,19,1,5,53,27,14.47,112,219,40,103,42,49,37,14,2,5,56,34
Aarin Stothers,Rust,2023-24,20.0,1,5,0,1,0,0,1,1,0,1,1,1,14.6,1,3,1,1,0,0,0,1,0,0,0,1
Aaron Badibo,Malone,2023-24,20.0,1,3,0,2,0,0,0,0,0,1,0,2,16.65,2,3,0,1,0,0,1,1,0,0,2,2
Aaron Bradshaw,Kentucky,2023-24,20.0,27,53,2,8,10,18,3,5,10,19,30,5,19.72,20,29,2,5,14,24,4,3,9,15,19,4
Aaron Brooks,E Menonite,2023-24,20.0,0,5,0,1,0,0,0,0,0,0,2,0,14.48,1,1,1,1,0,0,0,0,0,0,0,0
Aaron Cash,UT Arlington,2023-24,20.0,48,114,14,42,4,7,12,19,14,25,50,20,19.63,37,70,6,26,11,14,6,11,5,29,27,16
Aaron Clark,Wake Forest,2023-24,0.0,0,1,0,1,0,0,1,0,0,0,0,0,18.33,0,1,0,1,0,0,0,2,1,0,0,0
Aaron Clarke,Stony Brook,2023-24,20.0,73,182,32,90,11,13,47,14,0,4,51,21,15.97,74,179,26,78,32,47,43,6,2,7,47,19
Aaron Cooley,Brown,2023-24,20.0,41,114,13,40,14,19,14,9,6,18,44,16,19.73,34,79,7,29,16,28,16,3,15,17,42,20
Aaron Cotterel,Medgar Evers,2023-24,20.0,0,3,0,1,1,3,0,1,0,0,0,1,14.72,0,3,0,2,0,0,3,0,0,0,1,0
Aaron Cuthburtson,Warren Wil,2023-24,20.0,0,1,0,0,0,0,0,0,0,0,1,2,14.67,1,2,1,1,0,0,1,0,0,0,2,1
Aaron Daniels,Coastalga,2023-24,20.0,1,4,1,4,0,0,0,1,0,1,1,2,14.78,0,3,0,2,0,0,0,0,0,0,1,1
Aaron Davis,Bryant,2023-24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14.98,2,5,1,4,0,0,0,0,2,1,0,2
Aaron Deloney,Vermont,2023-24,20.0,63,157,31,90,22,26,47,6,0,8,45,17,18.27,67,153,24,75,36,45,55,8,0,7,26,23
Aaron Estrada,Alabama,2023-24,20.0,96,227,31,93,15,18,100,28,4,33,73,32,14.43,90,194,19,63,28,34,64,30,2,25,58,49
Aaron Foote,Coe,2023-24,20.0,0,2,0,1,0,0,0,0,0,0,0,0,14.52,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Franklin,Milwaukee,2023-24,20.0,17,32,5,10,2,3,7,6,1,14,31,9,17.6,16,28,2,8,2,3,4,5,3,14,16,5
Aaron Gray,Indiana St,2023-24,20.0,3,7,1,3,5,6,1,3,3,1,7,6,19.87,1,6,1,3,0,0,0,0,0,1,7,0
Aaron Harden,Texas A&M-CC,2023-24,0.0,1,2,1,2,0,0,0,0,2,0,0,0,14.92,1,6,1,5,0,1,0,0,1,0,2,0
Aaron Hernandez,LIFEPACIFC,2023-24,20.0,1,4,1,2,1,1,0,1,0,0,3,0,14.73,4,7,0,3,0,0,1,0,0,1,2,0
Aaron Humphrey Jr,St Francis PA,2023-24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,0,0,0,2,0,0,0,0,0
Aaron Humphrey Jr.,St Francis PA,2023-24,20.0,1,3,0,1,2,2,0,0,0,1,0,1,14.4,0,0,0,0,1,2,0,1,0,0,1,1
Aaron Johnson,Le Moyne,2023-24,20.0,4,7,2,4,0,0,0,0,0,2,2,2,17.8,1,2,0,0,0,0,3,0,0,1,1,1
Aaron Jones,Bryn Athyn,2023-24,20.0,0,1,0,1,0,0,0,0,0,1,0,0,14.6,0,1,0,1,0,0,1,0,0,0,0,1
Aaron McBride,WESTCLIFF,2023-24,0.0,3,9,1,2,0,3,6,4,3,9,9,2,14.88,6,10,1,4,1,2,3,1,1,3,6,0
Aaron Miller,,2023-24,5.48,3,5,2,2,1,5,0,1,0,0,2,0,0.0,2,4,0,1,0,0,0,1,0,1,3,1
Aaron Murphy,Mt Olive,2023-24,20.0,7,11,2,2,2,2,0,1,0,0,1,1,14.77,4,9,0,1,1,3,1,1,1,1,2,2
