player_name,team,opponent,game_id,date,is_home,fgm,fga,ftm,fta,tpm,tpa,pts,ast,tov,stl,blk,oreb,dreb,pf,possessions,team_possessions,usg_proxy,ortg_proxy,efg_pct
- Boyerrichard_William,Western Michigan,Detroit Mercy,401087435,2018-11-06,True,2,4,0,0,2,4,6,2,2,0,0,2,0,3,6.0,93.32,6.4,116.7,75.0
- Deru,Hiwassee College,Winthrop,401088526,2018-12-16,False,1,4,0,1,0,0,2,0,0,0,0,0,0,1,4.44,93.48,4.7,45.0,25.0
A.J. Banks,Wyoming,Niagara,401085994,2018-11-16,True,0,2,0,0,0,1,0,0,1,0,0,0,1,1,3.0,83.16,3.6,0.0,0.0
A.J. Banks,Wyoming,Northern Colorado,401086847,2018-12-01,True,2,4,4,4,1,2,9,0,1,1,1,0,2,1,6.76,81.04,8.3,133.1,62.5
A.J. Banks,Wyoming,Denver,401089017,2018-12-11,True,1,4,0,0,0,0,2,0,0,1,0,1,2,3,4.0,80.92,4.9,50.0,25.0
A.J. Banks,Wyoming,UTEP,401107013,2018-12-22,False,6,10,4,4,2,3,18,0,2,3,1,2,6,4,13.76,78.44,17.5,130.8,70.0
A.J. Banks,Wyoming,Dixie State,401089992,2018-12-29,True,1,3,2,2,0,0,4,0,3,0,0,1,6,2,6.88,71.76,9.6,58.1,33.3
A.J. Banks,Wyoming,Boise State,401089603,2019-01-02,True,2,2,4,4,0,0,8,0,3,0,0,0,1,2,6.76,65.56,10.3,118.3,100.0
A.J. Banks,Wyoming,UNLV,401089993,2019-01-05,False,4,8,1,2,0,3,9,0,4,3,2,1,5,2,12.88,73.48,17.5,69.9,50.0
A.J. Banks,Wyoming,San Diego State,401089679,2019-01-08,False,1,3,5,8,0,0,7,0,1,2,1,0,4,1,7.52,73.76,10.2,93.1,33.3
A.J. Banks,Wyoming,Utah State,401089994,2019-01-12,True,2,4,1,1,0,1,5,0,1,0,0,0,3,2,5.44,63.72,8.5,91.9,50.0
A.J. Banks,Wyoming,New Mexico,401089995,2019-01-19,False,4,10,1,3,1,4,10,0,5,2,1,0,2,0,16.32,79.92,20.4,61.3,45.0
A.J. Banks,Wyoming,San José St,401089996,2019-01-23,True,2,4,0,1,1,2,5,0,1,2,1,1,3,1,5.44,61.52,8.8,91.9,62.5
A.J. Banks,Wyoming,Boise State,401089608,2019-01-26,False,2,5,2,2,0,2,6,0,5,2,1,0,3,1,10.88,73.24,14.9,55.1,40.0
A.J. Banks,Wyoming,Fresno State,401089668,2019-01-30,True,3,4,0,0,1,1,7,0,5,1,0,1,6,4,9.0,69.6,12.9,77.8,87.5
A.J. Banks,Wyoming,Air Force,401089593,2019-02-06,False,2,3,0,0,0,1,4,0,2,0,0,0,4,1,5.0,73.84,6.8,80.0,66.7
A.J. Banks,Wyoming,Nevada,401089700,2019-02-16,True,2,5,1,2,1,4,6,1,1,2,0,0,2,0,6.88,70.92,9.7,94.5,50.0
A.J. Banks,Wyoming,UNLV,401089998,2019-02-19,True,4,5,0,0,1,2,9,0,2,2,0,0,2,1,7.0,70.16,10.0,128.6,90.0
A.J. Banks,Wyoming,Colorado State,401089658,2019-02-23,False,1,2,0,0,0,0,2,0,2,1,2,0,4,0,4.0,73.16,5.5,50.0,50.0
A.J. Banks,Wyoming,Fresno State,401089674,2019-02-27,False,1,3,0,0,0,2,2,0,0,1,0,0,3,4,3.0,69.72,4.3,66.7,33.3
A.J. Banks,Wyoming,Air Force,401089598,2019-03-02,True,3,5,0,1,0,0,6,0,0,0,1,1,5,1,5.44,69.6,7.8,110.3,60.0
A.J. Banks,Wyoming,San José St,401089999,2019-03-06,False,4,7,3,5,2,4,13,0,2,1,1,1,4,1,11.2,79.76,14.0,116.1,71.4
A.J. Banks,Wyoming,New Mexico,401090000,2019-03-09,True,5,7,9,11,1,1,20,0,3,0,0,0,4,3,14.84,74.76,19.9,134.8,78.6
A.J. Banks,Wyoming,New Mexico,401121594,2019-03-13,False,3,7,2,3,0,1,8,0,4,1,0,0,5,2,12.32,81.88,15.0,64.9,42.9
